"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"2STEP_AUTHORIZATION_RECOMMENDED"	"เพื่อความปลอดภัยของบัญชีของคุณ เราแนะนำให้คุณ $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"ใช้ระบบรักษาความปลอดภัย 2 ขั้นตอน\"$"
"2STEP_REWARD_WND_DESC"	"คุณได้รับสติกเกอร์ และสแกนเนอร์เปิดใช้งานแล้ว"
"2STEP_REWARD_WND_SUBTITLE"	"เปิดใช้งานระบบรักษาความปลอดภัยสองขั้นตอนแล้ว!"
"2STEP_REWARD_WND_TITLE"	"รางวัลระบบรักษาความปลอดภัยสองขั้นตอน"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"Pyromancer"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"Firestarters มีเลเวลขั้นสูง $value$"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"Out of the frying pan into the fire"
"advertising_A_Name"	"Gift 1 Pack"
"advertising_B_Name"	"Gift 2 Pack"
"advertising_C_Name"	"Gift 3 Pack"
"advertising_D_Name"	"Gift 4 Pack"
"advertising_E_Name"	"Gift 5 Pack"
"advertising_F_Name"	"Gift 6 Pack"
"advertising_G_Name"	"Gift 7 Pack"
"advertising_H_Name"	"Gift 8 Pack"
"advertising_I_Name"	"Gift 9 Pack"
"advertising_J_Name"	"Gift 10 Pack"
"advertising_K_Name"	"Gift 11 Pack"
"advertising_L_Name"	"Gift 12 Pack"
"advertising_M_Name"	"Gift 13 Pack"
"advertising_N_Name"	"Gift 14 Pack"
"advertising_O_Name"	"Gift 15 Pack"
"advertising_P_Name"	"Gift 16 Pack"
"advertising_Q_Name"	"Gift 17 Pack"
"ambulance01_bundle_vehicle_desc"	"รถพยาบาลที่ Mortus ใช้รับส่งผู้ป่วยมานานหลายปี รูปลักษณ์ของมันถูกเปลี่ยนไปตามความต้องการของเจ้าของและมันถูกพิสูจน์แล้วว่ามีประโยชน์มาก ต่อมามันได้กลายเป็นผู้นำมาซึ่งความตายใน Wasteland ซึ่งสามารถได้ยินเสียงมาแต่ไกล"
"ambulance01_bundle_vehicle_name"	"Last Aid"
"Autocannon_Fire_Increasing_DESC"	"เป็นอาวุธที่ยิงได้เร็วมาก"
"avatar_battletest_desc"	"นักศึกษาแลกเปลี่ยนระดับมหาวิทยาลัย ซึ่งมีชื่อเสียงด้านแฟชั่น แต่ชีวิตไม่ได้ถูกเตรียมไว้สำหรับความหายนะ เมื่อโลกทรุดโทรมลงเขาก็ต้องยืนหยัดให้ได้ด้วยตัวเองและเขามีความตั้งใจที่จะไปหาครอบครัวที่เหลืออยู่ในอีกฟากของมหาสมุทรซึ่งอาจยังมีชีวิตอยู่"
"avatar_bot_desc"	"ตาพลาสติกของเห็นคนอื่นๆกลายเป็นสีเทาไปหมดและเขาจำช่วงเวลาเมื่อเขาพบกับ Reaper ได้เพราะมันหมายถึงความตายที่กำลังมาถึงตัว เมื่อ Wasteland เต็มไปด้วยเครื่องจักรและเขาไม่รู้เกี่ยวกับกฏของฟิสิกส์เลยแม้แต่น้อย การเดินทางแต่ละครั้งมักจบลงด้วยการทำลายอันสมบูรณ์แบบ ดังนั้นหากต้นไม้เจริญเติบโตขึ้น เขาควรจะยิ้มหรือร้องไห้?"
