"2STEP_AUTHORIZATION_ENABLED"	"Your account is protected."
"2STEP_AUTHORIZATION_RECOMMENDED"	"For your account's security we recommend that you $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"use 2-step authentication.\"$"
"2STEP_REWARD_WND_DESC"	"You have received the sticker, the scanner has been activated."
"2STEP_REWARD_WND_SUBTITLE"	"Two-step authentication enabled!"
"2STEP_REWARD_WND_TITLE"	"Two-step authentication reward"
"achievements_category_ZONE1"	"Adventure"
"achievement_ADVENTURE_ZONE1_COMPLETE_desc"	"Complete “Awakening” (all main missions of the “Adventure” mode)"
"achievement_ADVENTURE_ZONE1_COMPLETE_name"	"Just five more minutes"
"achievement_CRAFT_TOKEN_ZONE1_desc"	"Produce any part with engraved shells"
"achievement_CRAFT_TOKEN_ZONE1_name"	"Shells first"
"achievement_EXPLORATION_COLLECT_LOOT_desc"	"Collect $value$ abandoned belongings in “Adventure” mode"
"achievement_EXPLORATION_COLLECT_LOOT_name"	"Whatever's not nailed down"
"achievement_EXPLORATION_COMPLETE_PATROL_QUEST_desc"	"Complete {$value$;'side mission';'side missions'} in “Adventure” mode"
"achievement_EXPLORATION_COMPLETE_PATROL_QUEST_name"	"Offroad patrol"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"Pyromancer"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"Reach prestige level $value$ with “Firestarters” faction"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"Out of the frying pan into the fire"
"ADVENTURE_REWARD_BONUS"	"More"
"ADVENTURE_REWARD_EXP"	"Reputation"
"ADVENTURE_USE_QUEST"	"Accept challenge"
"advertising_A_Name"	"“Gift 1” pack"
"advertising_B_Name"	"“Gift 2” pack"
"advertising_C_Name"	"“Gift 3” pack"
"advertising_D_Name"	"“Gift 4” pack"
"advertising_E_Name"	"“Gift 5” pack"
"advertising_F_Name"	"“Gift 6” pack"
"advertising_G_Name"	"“Gift 7” pack"
"advertising_H_Name"	"“Gift 8” pack"
"advertising_I_Name"	"“Gift 9” pack"
"advertising_J_Name"	"“Gift 10” pack"
"advertising_K_Name"	"“Gift 11” pack"
"advertising_L_Name"	"“Gift 12” pack"
"advertising_M_Name"	"“Gift 13” pack"
"advertising_N_Name"	"“Gift 14” pack"
"advertising_O_Name"	"“Gift 15” pack"
"advertising_P_Name"	"“Gift 16” pack"
"advertising_Q_Name"	"“Gift 17” pack"
"Alienware2018_bundle_Desc"	"- Unique armored vehicle “Alien”|- Cabin “Huntsman”|- Weapons: three machine guns “LM-54 Chord”|- Unique sticker “Alien”|- Unique paint can “Blue Honeycomb”|- Increases the maximum number of parts used to 25|- Scanner for 3 days"
"Alienware2018_bundle_Name"	"Special pack “Alien Starter Pack”"
"ambulance01_bundle_vehicle_desc"	"The ambulance, that Mortus used to transport the sick and for many years, proved to be useful even after the disaster. Its appearance and purpose changed to suit its owner's new needs. This car has become a harbinger of death in the Wasteland, even noticing it from a far promises imminent demise. If the good doctor hears a call for help, he spares no one. So be quiet, no matter how much it hurts."
"ambulance01_bundle_vehicle_name"	"Last Aid"
"AppearanceCardWnd_caption"	"Item information"
"AppearanceCardWnd_contains"	"Includes:"
"AppearanceCardWnd_to_shop"	"Back to shop"
"AutobuildParamWnd_Title"	"Auto-assembly settings"
"avatar_battletest_desc"	"An exchange student in a prestigious university, worked part-time as a hairdresser, dressed fashionably and partied like everyone else. Life did not prepare him for the catastrophe, but when the world collapsed, he remained firmly on his feet. Thoughts about his family left across the ocean, and a burning desire to see them again make him continue to live and fight."
"avatar_bot_desc"	"His plastic eyes saw things that would have made any survivor go gray. He remembers the wild time when a meeting with the Reaper meant imminent death. When the Wasteland was full of machines that did not know the laws of physics. When each trip could end up completely destroying all parts. When the trees were big. Is he crying or smiling?"
"avatar_cbt_desc"	"When the raiders learned about his newly discovered talent to turn organic matter into metal, he was tracked down, imprisoned in a cave and forced to produce gold from bones. Freed by Engineers, he fled to the Wasteland to escape from people and prefers the animal society.|And yet meeting this lost one is a great success. Despite the trials he has endured, he keeps his spirits up and is always ready to help his neighbour."
"avatar_cbt_name"	"Otherkin"
"avatar_default_desc"	"He stopped aging, having been affected by the Crossout virus. This is how he explains why over all these years he has not grown a single wrinkle. But judging by random phrases, he is much, much older than he looks."
"avatar_default_name"	"Kai"
"avatar_gamescom2017_name"	"Mickey"
"avatar_gm_etc_desc"	"If you meet a GMO badge-bearer in the Wasteland, it's too late to panic. Of course, you can still be saved by a fallen meteorite, or a hungry chimera, but most likely, your proteins and amino acids will be separated from the host and serve a greater goal. After all, those who wear such a badge were among the first to be hit by Crossout who realized what opportunities it reveals. They believe that there is a super-mind behind the catastrophe and they try to make contact with it, making sacrifices."
"avatar_gm_etc_name"	"Shadow"
"BINDING_NAME_autobuild"	"Auto-assembly"
"BINDING_NAME_mapScaleDec"	"Mini-map zoom out"
"BINDING_NAME_mapScaleInc"	"Mini-map zoom in"
"Blockpost_Defeat_nomads_text"	"A wasted game. Think twice before you come again. But I'm not sure two times is enough for you to learn something."
"Blockpost_Defeat_nomads_text2"	"It always ends the same."
"Blockpost_Defeat_psycho_text"	"One, two, three, four — our opponents hit the FLOOR!"
"Blockpost_Defeat_psycho_text2"	"One, two, three, four, five — now keep it quiet. Whoever laughs, dies once more — it's not enough!"
"Blockpost_Defeat_psycho_text3"	"One, two, and he's out!"
"Blockpost_Defeat_scavengers_text"	"Got what you deserved? Stealing trucks from the Scavengers is just plain stupid!"
"Blockpost_Defeat_scavengers_text2"	"It was ours, then yours and then ours again. Ha! Don't try to steal any more of our trucks."
"Blockpost_Defeat_scavengers_text3"	"That's it, we're done."
"Blockpost_Post1_nomads_text"	"Stop and put down your weapons before you hurt yourselves."
"Blockpost_Post1_nomads_text2"	"Your last chance to chicken out and retreat. Only death awaits beyond this outpost."
"Blockpost_Post1_nomads_text3"	"How much is this truck hijacker paying you? I'll give more. Won't tell? Then let the guns speak!"
"Blockpost_Post1_psycho_text"	"What do you think you're doing? Right, you are DYING!"
"Blockpost_Post1_scavengers_text"	"Are you deaf or dumb? Where are you going? Return the truck now!"
"Blockpost_Post1_scavengers_text2"	"Ahem, Dozer speaking. This is where you stop."
"Blockpost_Post2_nomads_text2"	"Practice makes perfect, huh? Good. Show me your sides, let's practice some more."
"Blockpost_Post2_psycho_text2"	"I spy an outpost that's strong. Get out while your wheels are still on!"
"Blockpost_Post2_psycho_text3"	"The second outpost had: the king, the queen, the prince AND THE SKELETONS OF THOSE WHO CAME HERE!"
"Blockpost_Post2_scavengers_text"	"Changed your mind yet? Then try to break through this! We've given the second post some tough stuff."
"Blockpost_Post2_scavengers_text2"	"Shoot, shoot. Forget the outpost, we have more."
"Blockpost_Post2_scavengers_text3"	"What?! You're still alive? Stop shooting, I can't aim well! Our turrets are gonna kick your butts."
"Blockpost_Post3_nomads_text"	"Looks like talking is getting us nowhere. That's what I was hoping for. Time for Plan B! Total annihilation!"
"Blockpost_Post3_nomads_text2"	"Don't celebrate getting far just yet. The further you go, the bigger the wheels we're gonna smash you with!"
"Blockpost_Post3_nomads_text3"	"This is the end for you and your crimes! Meet the justice machine!"
"Blockpost_Post3_psycho_text"	"Scar, Scar, Scar AB, means you'll all CEASE TO BE!"
"Blockpost_Post3_psycho_text2"	"Five, four, three, two, one. Now you've learned to count. We don't know what else to say, so let's shoot boss parts away?!"
"Blockpost_Post3_psycho_text3"	"One, two, three, four, five — survivor went for a dive. But a shark right then appears and survivor HAS NO EARS!"
"Blockpost_Post3_scavengers_text2"	"Halt, your convoy's not going further. We're bringing our own!"
"Blockpost_Post3_scavengers_text3"	"Wanna give up now? Too late, our leader has started his engine!"
"Blockpost_scavengers_caption"	"Dozer"
"Blockpost_Start_nomads_text"	"Peace to you! The transport that you're escorting is the property of the Nomads. And I insist you give it up without a fight."
"Blockpost_Start_nomads_text2"	"The last five losers who just “found themselves” on our land are now crawling through the Wasteland without wheels. Can you guess what kind of fate awaits thieves?"
"Blockpost_Start_nomads_text3"	"Tell me, how much did this truck hijacker pay you to get out of here? I could offer more. But I won't. I don't deal with hijackers."
"Blockpost_Start_psycho_text"	"They're brave to steal trucks from us. SHOOT ON SIGHT!"
"Blockpost_Start_psycho_text2"	"I spy with my little eye a big old truck that says DIE! Because it's just our truck, no other reason why!"
"Blockpost_Start_psycho_text3"	"Ha! We got the truck hijacker, now it's up to our punishment-maker. Let's take his hands and legs, and roll him down the road in kegs!"
"Blockpost_Start_scavengers_text"	"Hey there, survivors! Oooh, I know that truck. Shouldn't have started this hijacking business. But it's a good day so I'm offering you to give up."
"Blockpost_Start_scavengers_text2"	"One-two, can you hear me? Someone stole our truck. If I see you — you're dead."
"Blockpost_Start_scavengers_text3"	"So, what have we here? A stolen truck! Drop it. While you still have something to press the pedals with."
"Blockpost_Win_nomads_text"	"Bad luck! But I'll get you next time we meet!"
"Blockpost_Win_nomads_text2"	"H... How... How did that happen?"
"Blockpost_Win_nomads_text3"	"Nooo, we lost! Tell my family that..."
"Blockpost_Win_psycho_text"	"Aargh! Fine. You win! I'll kill someone else!"
"Blockpost_Win_psycho_text2"	"A good game. Too bad we were punished."
"Blockpost_Win_psycho_text3"	"You caught a bullet — you go home, that's all I have in store."
"Blockpost_Win_scavengers_text"	"They blew up our outposts AND took the truck. Bastards!"
"Blockpost_Win_scavengers_text2"	"We lost. Damn!"
"Blockpost_Win_scavengers_text3"	"Alright, alright. You win! But only this time. Got it?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"During assembly from blueprint the missing parts will be replaced with random analogous parts of the same type."
"BLUEPRINT_EXHIBITION_EXPAND"	"Expand"
