"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"2STEP_AUTHORIZATION_RECOMMENDED"	"Für die Kontosicherheit empfehlen wir, die Nutzung $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"der 2-stufigen Authentifizierung.\"$"
"2STEP_REWARD_WND_DESC"	"Du hast den Aufkleber erhalten, der Scanner wurde aktiviert."
"2STEP_REWARD_WND_SUBTITLE"	"Zweistufige Authentifizierung aktiviert!"
"2STEP_REWARD_WND_TITLE"	"Zwei-Stufen-Authentifizierung Belohnung"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"Pyromant"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"Erreiche das Prestige Level $value$ mit der \"Firestarters\"-Fraktion"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"Aus der Pfanne ins Feuer"
"ADVENTURE_REWARD_BONUS"	"Mehr"
"ADVENTURE_REWARD_EXP"	"Reputation"
"ADVENTURE_USE_QUEST"	"Mission annehmen"
"advertising_A_Name"	"\"Geschenk 1\" Paket"
"advertising_B_Name"	"\"Geschenk 2\" Paket"
"advertising_C_Name"	"\"Geschenk 3\" Paket"
"advertising_D_Name"	"\"Geschenk 4\" Paket"
"advertising_E_Name"	"\"Geschenk 5\" Paket"
"advertising_F_Name"	"\"Geschenk 6\" Paket"
"advertising_G_Name"	"\"Geschenk 7\" Paket"
"advertising_H_Name"	"\"Geschenk 8\" Paket"
"advertising_I_Name"	"\"Geschenk 9\" Paket"
"advertising_J_Name"	"\"Geschenk 10\" Paket"
"advertising_K_Name"	"\"Geschenk 11\" Paket"
"advertising_L_Name"	"\"Geschenk 12\" Paket"
"advertising_M_Name"	"\"Geschenk 13\" Paket"
"advertising_N_Name"	"\"Geschenk 14\" Paket"
"advertising_O_Name"	"\"Geschenk 15\" Paket"
"advertising_P_Name"	"\"Geschenk 16\" Paket"
"advertising_Q_Name"	"\"Geschenk 17\" Paket"
"Alienware2018_bundle_Name"	"Besonderes Paket  «Alien Starter Paket»"
"ambulance01_bundle_vehicle_desc"	"Der Krankenwagen, mit dem Mortus die Kranken transportierte, erwies sich auch nach der Katastrophe als nützlich. Sein Aussehen und Zweck änderte sich, um den neuen Bedürfnissen seines Besitzers zu entsprechen. Dieses Auto ist zu einem Vorboten des Todes im Ödland geworden. Wenn der gute Arzt einen Hilferuf hört, schont er niemanden. Sei also ruhig, egal wie sehr es auch weh tut. "
"ambulance01_bundle_vehicle_name"	"Letzte Hilfe"
"AppearanceCardWnd_caption"	"Item Information"
"AppearanceCardWnd_contains"	"Beinhaltet:"
"AppearanceCardWnd_to_shop"	"Zurück zum Shop"
"AutobuildParamWnd_Title"	"Automatische-Fahrzeugmontage Einstellungen"
