"2STEP_AUTHORIZATION_ENABLED"	"Ваш аккаунт защищен."
"2STEP_AUTHORIZATION_RECOMMENDED"	"Для безопасности аккаунта, рекомендуем $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"включить 2-этапную авторизацию.\"$"
"2STEP_REWARD_WND_DESC"	"Наклейка получена, сканер на 1 день активирован."
"2STEP_REWARD_WND_SUBTITLE"	"Двухэтапная авторизация включена!"
"2STEP_REWARD_WND_TITLE"	"Награда за 2-х этапную авторизацию"
"achievements_category_ZONE1"	"Приключение"
"achievement_ADVENTURE_ZONE1_COMPLETE_desc"	"Завершить «Пробуждение» (все основные задания режима «Приключение»)"
"achievement_ADVENTURE_ZONE1_COMPLETE_name"	"Еще пять минуточек"
"achievement_CRAFT_TOKEN_ZONE1_desc"	"Произвести любую деталь за гравированные гильзы"
"achievement_CRAFT_TOKEN_ZONE1_name"	"Гильзы вперед"
"achievement_EXPLORATION_COLLECT_LOOT_desc"	"Собрать $value$ шт. забытых пожитков в режиме «Приключение»"
"achievement_EXPLORATION_COLLECT_LOOT_name"	"Все, что не приколочено"
"achievement_EXPLORATION_COMPLETE_PATROL_QUEST_desc"	"Завершить {$value$;'дополнительное задание';'дополнительных задания';'дополнительных заданий'} в режиме «Приключение»"
"achievement_EXPLORATION_COMPLETE_PATROL_QUEST_name"	"Бездорожный патруль"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"Пиромант"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"Получить $value$ уровень престижа с фракцией «Огнепоклонники»"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"Из огня да в полымя"
"ADVENTURE_REWARD_BONUS"	"Дополнительно"
"ADVENTURE_REWARD_EXP"	"Репутация"
"ADVENTURE_USE_QUEST"	"Принять задание"
"advertising_A_Name"	"Набор «Подарочный 1»"
"advertising_B_Name"	"Набор «Подарочный 2»"
"advertising_C_Name"	"Набор «Подарочный 3»"
"advertising_D_Name"	"Набор «Подарочный 4»"
"advertising_E_Name"	"Набор «Подарочный 5»"
"advertising_F_Name"	"Набор «Подарочный 6»"
"advertising_G_Name"	"Набор «Подарочный 7»"
