"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"GAMEPLAY_Pve_Travel_Reverse_INFO"	"Erreiche dein Ziel"
"CarPart_Gun_Proto_ShotgunCloseCombat_Desc"	"Kritische Streuung, gewaltiger Schaden, hohe Kadenz und lange Nachladezeit."
"CarPart_Gun_Proto_ShotgunCloseCombat_Name"	"PROTO Schrotflinte BB"
"CarPart_Gun_Proto_ShotgunFLACK_Desc"	"Feuert drei Salven in schnelelr Folge ab. Die Projektile explodieren nach 80 Metern Flugentfernung."
"CarPart_Gun_Proto_ShotgunFLACK_Name"	"PROTO FLAKK"
"CarPart_Gun_Proto_Sonic_Desc"	"Richtet keinen Schaden an, sondern stößt Gegner fort."
"CarPart_Gun_Proto_Sonic_Name"	"PROTO Sonic gun"
"CarPart_Wheel_Proto_fast_Desc"	"Wahnsinnige Beschleunigung. Kann in engen Kurven zur Überschlagung führen. Lenkbar."
"CarPart_Wheel_Proto_fast_Name"	"Höllenreifen (L)"
"CarPart_Wheel_Proto_fast_S_Desc"	"Wahnsinnige Beschleunigung. Kann in engen Kurven zur Überschlagung führen."
"CarPart_Wheel_Proto_fast_S_Name"	"Höllenreifen"
"AchievementsWnd_score"	"Punkte"
"achievements_category_CRAFT"	"Konstruktion"
"achievements_category_FIRST"	"Allgemein"
"achievements_category_LEVELING"	"Reputation"
"achievements_category_MARKET"	"Markt"
"achievements_category_PVE"	"Raids"
"achievements_category_PVP"	"Missionen"
"achievement_ASSEMBLY_SIZE_desc"	"Baue ein Fahrzeug aus $value$ Bauteilen"
"achievement_ASSEMBLY_SIZE_name"	"Der Schlaf der Vernunft"
"achievement_ASSEMBLY_UR_desc"	"Konstruiere ein Fahrzeug mit einer Power Score von $value$ oder höher"
"achievement_ASSEMBLY_UR_name"	"Es lebt, lebt!"
"achievement_build_car_x5_desc"	"Ändere den Aufbau deines Fahrzeugs $value$ mal."
"achievement_build_car_x5_name"	"Zurechtmacher"
"achievement_change_fire_controls_x1_desc"	"Belegung der Waffensteuerung ändern"
"achievement_change_fire_controls_x1_name"	"Es gibt für alles einen Knopf."
"achievement_completed"	"Abgeschlossen"
"achievement_completed_total"	"Erhaltene Medaillen:"
"achievement_CRAFT_EPIC_desc"	"Konstruiere { $value$ ; 'episches Bauteil'; 'epische Bauteile' ;}"
"achievement_CRAFT_EPIC_name"	"Industrieller"
"achievement_CRAFT_EXOTIC_desc"	"Konstruiere { $value$ ; 'Relikt-Bauteil'; 'Relikt-Bauteile' ;}"
"achievement_CRAFT_EXOTIC_name"	"Kriegsgott"
"achievement_craft_item_x5_desc"	"Konstruiere $value$ beliebige Bauteile"
"achievement_craft_item_x5_name"	"Lehrling"
