"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"CARGOBAY_EXTRACT_ALL"	"Выгрузить все товары на склад"
"CARGOBAY_FILLED"	"Кузов заполнен"
"CarPart_CargoBay_Big_Desc"	"Увеличивает размер кузова на 100 единиц"
"CarPart_CargoBay_Big_Name"	"Кузов большой"
"CarPart_CargoBay_Small_Desc"	"Увеличивает размер кузова на 30 единиц"
"CarPart_CargoBay_Small_Name"	"Кузов малый"
"COMPONENTS_LIST"	"Компоненты:"
"CRAFT_SPEEDUP"	"Ускорить производство за монеты?"
"CRAFT_TITLE"	"ПРОИЗВЕСТИ"
"DURATION"	"Время крафта:"
"ERROR_AH_INVALID_TOWN"	"Ошибка аукциона. Неизвестный город. "
"ERROR_CARGO_BAY_FULL"	"Кузов заполнен. Установите дополнительный кузов, чтобы погрузит больше грузов за раз. "
"ERROR_CARGO_BAY_SHOULD_BE_EMPTIED"	"В кузове остались детали. Опустошите кузов. "
"ERROR_CRAFT_INVALID_TOWN"	"Этот предмет можно произвести только в конкретном городе."
"ERROR_CRAFT_IN_PROGRESS"	"Идет работа"
"ERROR_CRAFT_NOT_IN_PROGRESS"	"Тут ничего не происходит"
"ERROR_CRAFT_REQUIRE_LEVEL"	"Для производства данного предмета нужен более высокий уровень репутации с фракцией."
"ERROR_SEASONAL_FACTION_LVL_IS_NOT_ENOUGH"	"Уровень репутации с фракцией слишком низкий. Ходите в ПВП и ПВЕ и выполняйте квесты для повышения репутации."
"ERROR_SEASONAL_ITEMS_NOT_ENOUGH"	"Не достаточно ресурсов для выполнения задания."
"ERROR_SEASONAL_WRONG_TOWN"	"Зто задание можно взять и сдать только в другом городе."
"ERROR_TRADING_CANT_SPAWN_GAME"	"Ошибка путешественника. Не удалось создать инстанс."
"ERROR_TRADING_LOCATION_UNREACHABLE"	"Можно пермещаться только между соседними городами."
"ExpPack_Frenzied10000_name"	"10000 репутации с Бешеными"
"ExpPack_Frenzied1000_name"	"1000 репутации с Бешеными"
"ExpPack_Frenzied5000_name"	"5000 репутации с Бешеными"
"ExpPack_Mechanics1000_name"	"1000 репутации с Механиками"
"ExpPack_Scavengers10000_name"	"10000 репутации с Мусорщиками"
"ExpPack_Scavengers1000_name"	"1000 репутации с Мусорщиками"
"ExpPack_Scavengers5000_name"	"5000 репутации с Мусорщиками"
"ExpPack_Vagabonds10000_name"	"10000 репутации со Скитальцами"
"ExpPack_Vagabonds1000_name"	"1000 репутации со Скитальцами"
"ExpPack_Vagabonds5000_name"	"5000 репутации со Скитальцами"
"EXTRACT_CARGO_MAX_TITLE"	"Выгрузить все:"
"EXTRACT_CARGO_TITLE"	"Выгрузить на склад"
"GAMEPLAY_Pve_Travel_Reverse"	"Путешествие"
"GAMEPLAY_Pve_Travel_Reverse_INFO"	"Доберитесь до конечной точки"
"GARAGE_TRADING_MAP"	"Карта"
"HANGAR_TAB_CARGO_BAY"	"КУЗОВ"
"HANGAR_TAB_CUR_TOWN"	"Вы здесь"
"HANGAR_TAB_RECIPES"	"Производство"
"HANGAR_TAB_TRADING_MAP"	"Карта мира"
"HANGAR_TAB_UNLOCK_INV"	"Анлоки"
