"2STEP_AUTHORIZATION_ENABLED"	"あなたのアカウントは保護されています。"
"2STEP_AUTHORIZATION_RECOMMENDED"	"アカウントのセキュリティを確保するため、$url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"二段階認証を設定する\"$ことをお勧めします。"
"2STEP_REWARD_WND_DESC"	"ステッカーを受け取りました。スキャナーが有効になりました。"
"2STEP_REWARD_WND_SUBTITLE"	"二段階認証が有効になりました！"
"2STEP_REWARD_WND_TITLE"	"2段階認証の報酬"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"パイロマンサー"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"ファクション「ファイアスターター」で名声レベル$value$になる。"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"一難去ってまた一難"
"advertising_A_Name"	"「ギフト1」パック"
"advertising_B_Name"	"「ギフト2」パック"
"advertising_C_Name"	"「ギフト3」パック"
"advertising_D_Name"	"「ギフト4」パック"
"advertising_E_Name"	"「ギフト5」パック"
"advertising_F_Name"	"「ギフト6」パック"
"advertising_G_Name"	"「ギフト7」パック"
"advertising_H_Name"	"「ギフト8」パック"
"advertising_I_Name"	"「ギフト9」パック"
"advertising_J_Name"	"「ギフト10」パック"
"advertising_K_Name"	"「ギフト11」パック"
"advertising_L_Name"	"「ギフト12」パック"
"advertising_M_Name"	"「ギフト13」パック"
"advertising_N_Name"	"「ギフト14」パック"
"advertising_O_Name"	"「ギフト15」パック"
"advertising_P_Name"	"「ギフト16」パック"
"advertising_Q_Name"	"「ギフト17」パック"
"ambulance01_bundle_vehicle_desc"	"モータスが何年も使い続けてきた病人を運ぶための救急車。大災害の後でもまだ動いている。モータスの変容に合わせてこの車両も役割を変え、今では荒野で死の前兆を示す物となり、遠くからひと目見かけただけでも逃れられない死を意味するとされている。助けを呼ぶ声をその医者に聞かれたら最後、誰も助けられない。死にたくなければどれだけ痛くても、静かにしている事だ。"
"ambulance01_bundle_vehicle_name"	"ラストエイド"
"Autocannon_Fire_Increasing_DESC"	"武器の発射時間が長ければ長いほど、連射速度は高くなります。"
"avatar_battletest_desc"	"由緒正しい大学の交換留学生で、美容師のアルバイトをし、流行のファクションを身に着け、他の皆と同じようにパーティーに参加するようなごく普通の学生でした。彼の人生は大災害に対して無防備だったにもかかわらず、世界が崩壊した時、彼は冷静にその現実受け入れました。海の向こうに残された家族への思い、彼らと再会したいという熱い願望が、彼が生きて戦い続ける原動力となっている。"
"avatar_bot_desc"	"彼のプラスチック製の目は沢山の生存者達が年を取っていくのを見てきた。無秩序で混沌とした世界が広がっていた時代、リーパーに出会った時死を身近に感じたことを印象深く覚えている。|物理の法則を超越した機械が荒野に満ち溢れた時、旅に出るだけで全てのパーツが完膚なきまでに破壊されるかもしれない時、樹木が大きかった時、彼は泣いているのか、それとも微笑んでいるのか？"
"avatar_cbt_desc"	"彼が有機物を金属に変えることができる能力を持っているということを聞きつけたレイダーたちは、彼を見つけ出し、洞窟に監禁し、骨から金を生み出すよう強要した。その後、エンジニアたちにより救出された彼は、人々から逃れるため荒野へと逃げ出し、動物社会を好むようになった。| この消えた者を探し出すのは、すごいことだ。彼は試練に耐えたにも関わらず、自分の精神を正しく保ち、仲間たちを助けるつもりである。"
"avatar_cbt_name"	"アザーキン"
"avatar_default_desc"	"CROSSOUTウィルスの影響で、年を取らなくなりました。何年もの間、しわひとつ増えなかったのも頷けます。しかし、他の部分を見ると彼は見た目よりもっと年をとっているのがわかります。"
"avatar_default_name"	"カイ"
"avatar_gamescom2017_name"	"ミッキー"
"avatar_gm_etc_desc"	"もし荒野でGMOバッジの持ち主と出会ったら、もう手遅れです。もちろん、落ちてくる衛星か空腹のキメラに助けられるかもしれませんが、君のタンパク質とアミノ酸は持ち主と離れ、より大きな目的のために役立つでしょう。結局、そういうバッジを付けている人々は最初にCROSSOUTウィルスに遭遇し、その秘めた可能性を見つけ出した者たちです。大災害の黒幕にスーパーマインドがいると信じ、犠牲を払ってでも、彼との接触を図っています。"
"avatar_gm_etc_name"	"シャドー"
"BATTLELOG_RESULT_PLACE"	"$value$ 位"
"BINDING_NAME_autobuild"	"オートクラフト"
"BINDING_NAME_mapScaleDec"	"ミニマップズームアウト"
"BINDING_NAME_mapScaleInc"	"ミニマップズームイン"
