"2STEP_AUTHORIZATION_ENABLED"	"귀하의 계정을 보호하고 있습니다."
"2STEP_AUTHORIZATION_RECOMMENDED"	"계정의 보안을 위해 $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"2단계 인증을 사용\"$하시는 것을 추천합니다."
"2STEP_REWARD_WND_DESC"	"스티커를 받았습니다. 스캐너가 활성화되었습니다."
"2STEP_REWARD_WND_SUBTITLE"	"2단계 인증이 활성화되었습니다!"
"2STEP_REWARD_WND_TITLE"	"2단계 인증 보상"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"불점술사"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"'방화범' 파벌과의 명성 레벨 $value$ 달성"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"프라이팬을 뛰어넘어 불구덩이 속으로"
"advertising_A_Name"	"'선물 1' 팩"
"advertising_B_Name"	"'선물 2' 팩"
"advertising_C_Name"	"'선물 3' 팩"
"advertising_D_Name"	"'선물 4' 팩"
"advertising_E_Name"	"'선물 5' 팩"
"advertising_F_Name"	"'선물 6' 팩"
"advertising_G_Name"	"'선물 7' 팩"
"advertising_H_Name"	"'선물 8' 팩"
"advertising_I_Name"	"'선물 9' 팩"
"advertising_J_Name"	"'선물 10' 팩"
"advertising_K_Name"	"'선물 11' 팩"
"advertising_L_Name"	"'선물 12' 팩"
"advertising_M_Name"	"'선물 13' 팩"
"advertising_N_Name"	"'선물 14' 팩"
"advertising_O_Name"	"'선물 15' 팩"
"advertising_P_Name"	"'선물 16' 팩"
"advertising_Q_Name"	"'선물 17' 팩"
"ambulance01_bundle_vehicle_desc"	"모르투스가 오랫동안 병자들을 실어 날랐던 구급차는 대재앙 후에도 꽤 유용하게 활용될 수 있었습니다. 물론 외형과 용도가 소유자의 새로운 요구 사항에 따라 다소 바뀌기는 했지만요. 이 차량은 황무지를 누비는 죽음의 전령이 되었고, 사람들은 멀리서 이 차량이 눈에 띄기만 해도 최후가 가까워졌다는 사실을 깨달아야 합니다. 좋은 의사는 도움을 요청하는 소리가 들리면 절대로 그냥 지나치지 않습니다. 그러니까 아무리 아프더라도, 아무 소리도 내지 마세요."
"ambulance01_bundle_vehicle_name"	"최후의 치료"
"Autocannon_Fire_Increasing_DESC"	"무기를 오래 발사할수록 발사 속도가 증가합니다."
"avatar_battletest_desc"	"그는 유명 대학의 교환 학생으로, 미용사 아르바이트를 하며 늘 멋진 옷차림으로 다른 사람들처럼 파티를 즐겼습니다. 그런 인생 때문에 대재앙에 적절히 대비하지는 못했지만, 이 세계가 붕괴된 후에도 꿋꿋이 살아남았습니다. 멀리 바다 건너에 남겨진 가족에 대한 그리움과 그들을 다시 만나겠다는 타오르는 열망이 그를 계속해서 살아남고 싸우게 합니다."
"avatar_bot_desc"	"그의 플라스틱 눈은 어떤 생존자라도 창백하게 질리게 할 일들을 봐왔습니다. 그는 리퍼와 마주치면 바로 죽음을 맞이해야 했던 야만의 시간을 기억합니다. 황무지가 물리학의 법칙을 알지 못하는 기계로 가득했던 때. 단 한 번의 여정에서 모든 부품이 완전히 파괴될 수 있었던 때. 나무가 그렇게나 커다랗던 때. 그가 지금 울고 있는 건가요, 웃고 있는 건가요?"
"avatar_cbt_desc"	"침입자들은 유기물을 금속으로 바꿀 수 있는 그의 새로운 능력을 알아내자마자 그를 추적하기 시작했습니다. 결국 침입자에게 붙잡혀 동굴에 갇힌 그는 뼈로 금을 만드는 일을 해야만 했습니다. 기술자들의 손에 풀려난 그는 황무지로 도망쳤고, 이제 인간의 곁을 떠나 동물들과 어울리기를 선호합니다.|하지만 이 길 잃은 존재를 만난 건 큰 행운이었습니다. 지금껏 많은 시련을 견뎌내야 했음에도 그는 사기를 잃지 않고 언제든 이웃을 도울 준비가 되어 있습니다."
"avatar_cbt_name"	"별종"
"avatar_default_desc"	"그는 Crossout 바이러스에 감염된 이후로 나이를 먹지 않습니다. 그렇게 오랜 세월이 흘렀어도 주름살 하나 늘지 않은 이유를 그는 이렇게 설명합니다. 하지만 무심코 튀어나오는 말을 잘 들어 보면, 보기보다 훨씬 나이가 많은 게 분명합니다."
"avatar_default_name"	"카이"
"avatar_gamescom2017_name"	"미키"
"avatar_gm_etc_desc"	"황무지에서 GMO 배지를 달고 있는 사람을 만나면, 이미 늦었다고 생각하세요. 물론 유성이 떨어지거나 굶주린 키메라가 나타난다면 목숨을 구할 수 있겠지만, 당신의 단백질과 아미노산이 숙주에게서 분리되어 더 중요한 목적에 사용될 가능성이 훨씬 더 큽니다. 이런 배지를 차고 다니는 사람들은 Crossout 바이러스에 가장 먼저 접촉한 사람들로, 이 질병으로 인해 생겨난 기회를 가장 먼저 붙잡은 사람이기도 합니다. 이들은 이 대재앙의 배후에 초월적 지성이 있다고 믿고 있으며, 그 존재를 만나 제물을 바치려고 노력합니다."
"avatar_gm_etc_name"	"그림자"
"BATTLELOG_RESULT_PLACE"	"$value$등"
"BINDING_NAME_autobuild"	"자동 조립"
