"2STEP_AUTHORIZATION_ENABLED"	"您的帳號受到保護"
"2STEP_AUTHORIZATION_RECOMMENDED"	"為了您帳號的安全性，我們建議您使用$url href =\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text =\"進行雙驗證\"$。"
"2STEP_REWARD_WND_DESC"	"你已經收到貼紙，掃描器已經啟動"
"2STEP_REWARD_WND_SUBTITLE"	"啟用雙驗證"
"2STEP_REWARD_WND_TITLE"	"雙驗證獎勵"
"achievement_LVL_FACTION_FIRESTARTERS_name"	"傳火者"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"\"火舞部落\"陣營聲望達到$value$級"
"achievement_LVL_PARAGON_FIRESTARTERS_name"	"跳入火坑"
"advertising_A_Name"	"獎勵禮包"
"advertising_B_Name"	"獎勵禮包"
"advertising_C_Name"	"獎勵禮包"
"advertising_D_Name"	"獎勵禮包"
"advertising_E_Name"	"獎勵禮包"
"advertising_F_Name"	"獎勵禮包"
"advertising_G_Name"	"獎勵禮包"
"advertising_H_Name"	"獎勵禮包"
"advertising_I_Name"	"獎勵禮包"
"advertising_J_Name"	"獎勵禮包"
"advertising_K_Name"	"獎勵禮包"
"advertising_L_Name"	"獎勵禮包"
"advertising_M_Name"	"獎勵禮包"
"advertising_N_Name"	"獎勵禮包"
"advertising_O_Name"	"獎勵禮包"
"advertising_P_Name"	"獎勵禮包"
"advertising_Q_Name"	"獎勵禮包"
"ambulance01_bundle_vehicle_desc"	"這輛救護車是莫特斯用來運送病人的。多年來，它證明了即使是在災難之後也依然有著重大的作用。它的外觀和用途隨著使用者的需求而變。這輛車已經成為廢土中死亡的象徵。如果莫特斯聽到呼救的聲音，他不會給那個人提供幫助。所以不管有多痛，請保持安靜。"
"ambulance01_bundle_vehicle_name"	"最後救援"
"Autocannon_Fire_Increasing_DESC"	"武器發射時間越長，射擊速度越快"
