"ADVENTURE_REWARD_BONUS"	"Plus"
"ADVENTURE_REWARD_EXP"	"Réputation"
"ADVENTURE_USE_QUEST"	"Accepter la mission"
"Alienware2018_bundle_Desc"	"- Véhicule blindé unique \"Alien\"|- Cabine \"Huntsman\"|- Armes: trois mitrailleuses « LM-54 Chord»|- Autocollant unique \"Alien\"|- Pots de peinture uniques \"Blue Honeycomb\"|- Augmente le nombre maximal de pièces utilisées à 25"
"Alienware2018_bundle_Name"	"Pack spécial \"Alien Starter Pack\""
"Blockpost_Start_nomads_text2"	"Les cinq derniers perdants qui se sont «retrouvés» sur nos terres traversent maintenant le Wasteland sans roues. Pouvez-vous deviner quel genre de destin attend les voleurs?"
"BLUEPRINT_ANALOG_REPLACEMENT_WARNING"	"Lors de la construction du plan, les pièces manquantes seront remplacées par une pièce sélectionnée aléatoirement du même type"
"BLUEPRINT_LOAD_WARNING"	"@ffff0000Charger ce plan va retirer le véhicule actuel de l'emplacemetn du garage. Continuer?"
"Cabin_InnateMelee_Desc"	"La cabine «Cerberus» est la meilleure amie d'un survivant. Elle comprend tout, mais ne peut tout simplement pas parler. Éviscérez les ennemis en combat de mêlée comme un féroce chien mythique."
"CarPart_lambo_f_fender_l_Desc"	"Ne change par les caractéristiques du véhicule, mais ça en jette!"
"CarPart_lambo_f_fender_r_Desc"	"Ne change par les caractéristiques du véhicule, mais ça en jette!"
"CarPart_SpareTire_Heavy2_Name"	"Twin spare"
"CarPart_SpareTire_Spike_Name"	"Spiked spare"
"CarPart_SpareTire_Truck_Name"	"Small spare"
"CarPart_Torch_Blue_Name"	"Firebug"
"CHAT_PUNISHED_player_ban"	"$accusedNickname$ a été bloqué pour $reason$ jusqu'à $until$."
"CHAT_PUNISHED_player_mute"	"$accusedNickname$ a été rendu muet pour $reason$ jusqu'a $until$."
"Coins_discount_offer_Desc"	"- Armes: mitrailleuse “M-37 Piercer” - 3 pcs."
"Coins_discount_offer_Name"	"Monnaie du jeu avec une remise"
"CONFIRMATION_ACCOUNT_COPY"	"Le compte actuel sera écrasé par les données du serveur actif."
"DEBR_FINISHREASON_PLACE"	"Tu es à la $place$ position."
"DEBR_PREMIUM_EXP_PERCENT"	"Premium"
"Decal_tw_hit_name"	"Coup Fatal "
"event_notification_desc_FOOLS_DAY"	"C'est le jour du poissons d'avril à Crossout! Participe à la bagarre spéciale \"Où as-tu eu la voiture, mec?\" avec d'autres survivants conduisant des voitures folles, prenez les places (1 à 4), complétez les défis et obtenez de nouveaux autocollants et décors!|Visitez le site Web de Crossout pour plus d'informations."
"event_notification_desc_NEW_YEAR"	"\"Le Blizzard\" est venu à Crossout! Participez à des missions festives et échangez des biscuits pour les décorations du Nouvel An. Les Scavengers viennent de nous apporter des feux d'artifice et des autocollants.|Vérifiez la date de début de l'événement sur le site Web du projet."
"Exploration_Cargo_name"	"Cargo"
"Exploration_Message_PatrolEvent_name"	"Patrouille"
"Exploration_PublicQuest_Convoy_Name"	"Convoi"
"Exploration_PublicQuest_Defense_Name"	"Défense"
"Exploration_Quest_Survey3_Name"	"Collecte de Données"
"FactionCraftWnd_free_craftsman_stamina"	"Vous pouvez continuer à utiliser le plan de travail pour produire des pièces gratuites pour $time_left$. Les postes de travail prépayés ($stamina$ parts) seront disponibles une fois l'événement terminé."
"frenzied_15lvl_vehicle_desc"	"Beast"
"GARAGE_ERROR_CREATE_CABIN_TIP"	"Une seule cabine est autorisée par véhciule. Retirez la cabine actuelle pour en installer une nouvelle."
"GARAGE_ERROR_NO_DECAL"	"Plus de pièces restantes en réserve"
"GARAGE_ERROR_NO_DECAL_TIP"	"Vous n'avez plus d'objet de ce type. Construisez, achetez les sur le marché ou récupérez les en combat"
"GARAGE_ERROR_TOO_MANY_DECALS"	"Vous ne pouvez pas appliquer plus de $max_decals$ autocollants à la voiture. Retirez l'un d'eux pour en appliquer un autre."
"GARAGE_LEVIATHAN_UNKNOWN_MSG"	"Le mode \"Leviathan\" est indisponible. Ré-essayez plus tard."
"GARAGE_SEASON_QUESTS_TOOLTIP"	"Vous pouvez choisir des objectifs et obtenir des récompenses en les complétant"
"Greatescape_scavengers_caption"	"Charognard"
"HANGAR_TAB_FUSION_TOOLTIP"	"Vous pouvez améliorer les pièces rares avec d'autres objets"
"HANGAR_TAB_SHOP_PREMIUM"	"Premium"
"HANGAR_TAB_SHOP_TOOLTIP"	"Packs de pièces de monnaie et de véhicules blindés préfabriqués avec des pièces uniques"
"HEALTH_TOOLTIP"	"Ce paramètre montre l'intégrité de la structure de la cabine avec les bonus des autres pièces. Quand il atteint 0, le véhicule est détruit.|La structure totale de votre véhicule est de $parts_health$"
"item_chest_Decorum_desc"	"Contient un morceau de décoration de rareté épique"
"item_chest_Decorum_name"	"Décoration épique"
"item_chest_epic_weapon_desc"	"Peut contenir une @ffb900ffPièce épique@ffffffff, hors chenilles."
"item_chest_gift_desc"	"Le container peut contenir n'importe quelle @ff0099ffPièce rare@ffffffff en dehors des roues.|"
"item_chest_legendary_2h_desc"	"Contient une @ffffcc66pièce légendaire@ffffffff utilisable pendant 24 heures."
"item_chest_legendary_2h_name"	"Container légendaire"
