"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"2STEP_AUTHORIZATION_RECOMMENDED"	"Para garantizar la seguridad de su cuenta le recomendamos $url href=\"https://login.gaijin.net/$lang$/profile/settings/security/$userId$\" text=\"usa la verificación en dos pasos.\"$"
"2STEP_REWARD_WND_DESC"	"Has recibido la pegatina, el escáner ha sido activado."
"2STEP_REWARD_WND_SUBTITLE"	"¡Verificación en dos pasos activada!"
"2STEP_REWARD_WND_TITLE"	"Recompensa de la verificación en dos pasos"
"achievement_LVL_PARAGON_FIRESTARTERS_desc"	"Alcanza el nivel $value$ de prestigio con la facción 'Adoradores del Fuego'"
"ADVENTURE_REWARD_BONUS"	"Más"
"ADVENTURE_REWARD_EXP"	"Reputación"
"ADVENTURE_USE_QUEST"	"Aceptar desafío"
"ambulance01_bundle_vehicle_desc"	"La ambulancia, que Mortus usó para transportar enfermos durante muchos años, ha demostrado ser útil hasta incluso después del desastre. Su apariencia y propósito ha cambiado para adaptarse a las nuevas necesidades de su propietario. Este vehículo se ha convertido en un heraldo de la muerte, ya solo verlo desde lejos promete una muerte inminente. Si el buen doctor escucha una llamada de auxilio, no perdonará a nadie. Así que permanece en silencio, no importa cuánto duela."
"AppearanceCardWnd_caption"	"Información del artículo"
"AppearanceCardWnd_contains"	"Incluye:"
"AppearanceCardWnd_to_shop"	"Volver a la tienda"
"AutobuildParamWnd_Title"	"Configuración del ensamblaje automático"
"BINDING_NAME_autobuild"	"Ensamblaje automático"
"BINDING_NAME_mapScaleDec"	"Alejar minimapa"
"BINDING_NAME_mapScaleInc"	"Acercar minimapa"
"Blockpost_scavengers_caption"	"Dozer"
"Blockpost_Start_scavengers_text"	"¡Hola supervivientes! No deberías haber iniciado esto. ¡El camión fue robado! ¿Lo quieres? Vuelve o no serás supervivientes por mucho tiempo."
"Blockpost_Win_nomads_text"	"¡Mala suerte! ¡Pero te cogeré la próxima vez que nos encontremos!"
"Blockpost_Win_psycho_text"	"¡Aargh! Bien. ¡Tú ganas!"
"Blockpost_Win_scavengers_text"	"Todos los puntos de control han sido destruidos y se han llevado el camión. ¡Bastardos!"
